,density,init_fire,reborn_tree,Run,Burned Out,Fine,Fire,height,width
503,0.5,20,80,503,0,5028,0,100,100
504,0.5,20,80,504,0,4963,0,100,100
505,0.5,20,80,505,0,4983,0,100,100
506,0.5,20,80,506,0,5017,0,100,100
507,0.5,20,80,507,495,4458,69,100,100
508,0.5,20,80,508,436,4464,58,100,100
509,0.5,20,80,509,42,4941,6,100,100
510,0.5,20,80,510,0,5054,0,100,100
511,0.5,20,80,511,837,4121,71,100,100
512,0.5,20,80,512,0,5061,0,100,100
513,0.5,20,80,513,0,4935,0,100,100
514,0.5,20,80,514,476,4458,68,100,100
515,0.5,20,80,515,566,4415,69,100,100
516,0.5,20,80,516,0,5067,0,100,100
517,0.5,20,80,517,0,5020,0,100,100
518,0.5,20,80,518,443,4475,53,100,100
519,0.5,20,80,519,475,4395,85,100,100
520,0.5,20,80,520,0,5036,0,100,100
521,0.5,20,80,521,286,4624,44,100,100
522,0.5,20,80,522,306,4656,41,100,100
523,0.5,20,80,523,621,4254,96,100,100
524,0.5,20,80,524,0,5047,0,100,100
525,0.5,20,80,525,479,4485,65,100,100
526,0.5,20,80,526,586,4351,72,100,100
527,0.5,20,80,527,0,4982,0,100,100
528,0.5,20,80,528,311,4599,42,100,100
529,0.5,20,80,529,496,4422,70,100,100
530,0.5,20,80,530,655,4257,110,100,100
531,0.5,20,80,531,694,4155,92,100,100
532,0.5,20,80,532,626,4291,85,100,100
533,0.5,20,80,533,463,4448,43,100,100
534,0.5,20,80,534,448,4436,60,100,100
535,0.5,20,80,535,620,4361,62,100,100
536,0.5,20,80,536,0,4985,0,100,100
537,0.5,20,80,537,177,4831,24,100,100
538,0.5,20,80,538,672,4251,99,100,100
539,0.5,20,80,539,0,5023,0,100,100
540,0.5,20,80,540,706,4283,95,100,100
541,0.5,20,80,541,931,4019,104,100,100
542,0.5,20,80,542,532,4469,60,100,100
543,0.5,20,80,543,0,5049,0,100,100
544,0.5,20,80,544,0,5007,0,100,100
545,0.5,20,80,545,0,4976,0,100,100
546,0.5,20,80,546,0,4976,0,100,100
547,0.5,20,80,547,508,4452,63,100,100
548,0.5,20,80,548,618,4415,79,100,100
549,0.5,20,80,549,0,5026,0,100,100
550,0.5,20,80,550,596,4334,72,100,100
551,0.5,20,80,551,658,4246,56,100,100
552,0.5,20,80,552,621,4274,76,100,100
553,0.5,20,80,553,550,4382,61,100,100
554,0.5,20,80,554,493,4488,46,100,100
555,0.5,20,80,555,0,4902,0,100,100
556,0.5,20,80,556,0,5029,0,100,100
557,0.5,20,80,557,0,5126,0,100,100
558,0.5,20,80,558,644,4281,80,100,100
559,0.5,20,80,559,0,4960,0,100,100
560,0.5,20,80,560,0,4940,0,100,100
561,0.5,20,80,561,634,4285,89,100,100
562,0.5,20,80,562,685,4223,76,100,100
563,0.5,20,80,563,0,4913,0,100,100
564,0.5,20,80,564,0,5061,0,100,100
565,0.5,20,80,565,513,4355,80,100,100
566,0.5,20,80,566,560,4386,64,100,100
567,0.5,20,80,567,414,4545,43,100,100
568,0.5,20,80,568,0,4988,0,100,100
569,0.5,20,80,569,0,4970,0,100,100
570,0.5,20,80,570,344,4603,36,100,100
571,0.5,20,80,571,0,5004,0,100,100
572,0.5,20,80,572,0,5021,0,100,100
573,0.5,20,80,573,0,5080,0,100,100
574,0.5,20,80,574,457,4482,56,100,100
575,0.5,20,80,575,666,4186,81,100,100
576,0.5,20,80,576,0,5024,0,100,100
577,0.5,20,80,577,436,4473,56,100,100
578,0.5,20,80,578,430,4554,55,100,100
579,0.5,20,80,579,675,4257,59,100,100
580,0.5,20,80,580,503,4532,57,100,100
581,0.5,20,80,581,386,4608,56,100,100
582,0.5,20,80,582,0,4944,0,100,100
583,0.5,20,80,583,0,4937,0,100,100
584,0.5,20,80,584,0,5005,0,100,100
585,0.5,20,80,585,519,4428,59,100,100
586,0.5,20,80,586,563,4340,56,100,100
587,0.5,20,80,587,0,4981,0,100,100
588,0.5,20,80,588,0,5035,0,100,100
589,0.5,20,80,589,0,4989,0,100,100
590,0.5,20,80,590,443,4491,49,100,100
591,0.5,20,80,591,645,4243,97,100,100
592,0.5,20,80,592,489,4412,38,100,100
593,0.5,20,80,593,435,4480,61,100,100
594,0.5,20,80,594,0,5046,0,100,100
595,0.5,20,80,595,438,4473,60,100,100
596,0.5,20,80,596,0,4951,0,100,100
597,0.5,20,80,597,0,4999,0,100,100
598,0.5,20,80,598,587,4276,58,100,100
599,0.5,20,80,599,0,5056,0,100,100
